geneset,lib,geneset2
1006, ' GNF2_FGR ' ,5,2853
1007, ' GNF2_G22P1 ' ,5,2855
1008, ' GNF2_HLA-C ' ,5,2858
1009, ' GNF2_HMMR ' ,5,2859
1010, ' GNF2_ICAM3 ' ,5,2861
1011, ' GNF2_IL2RB ' ,5,2864
1012, ' GNF2_INPP5D ' ,5,2865
1013, ' GNF2_ITGAL ' ,5,2866
1014, ' GNF2_ITGB2 ' ,5,2867
1015, ' GNF2_JAK1 ' ,5,2868
1016, ' GNF2_KPNB1 ' ,5,2870
1017, ' GNF2_LYN ' ,5,2872
1018, ' GNF2_MATK ' ,5,2875
1019, ' GNF2_MCM4 ' ,5,2878
1020, ' GNF2_MCM5 ' ,5,2879
1021, ' GNF2_MKI67 ' ,5,2880
1022, ' GNF2_MYL2 ' ,5,2886
1023, ' GNF2_MYL3 ' ,5,2887
1024, ' GNF2_PAK2 ' ,5,2891
1025, ' GNF2_PTPN4 ' ,5,2895
1026, ' GNF2_PTPN6 ' ,5,2896
1027, ' GNF2_PTPRC ' ,5,2897
1028, ' GNF2_RAB7L1 ' ,5,2900
1029, ' GNF2_RAP1B ' ,5,2902
1030, ' GNF2_S100A4 ' ,5,2905
1031, ' GNF2_SELL ' ,5,2906
1032, ' GNF2_SERPINB5 ' ,5,2907
1033, ' GNF2_SERPINI2 ' ,5,2908
1034, ' GNF2_SNRK ' ,5,2909
1035, ' GNF2_SPINK1 ' ,5,2911
1036, ' GNF2_TNFRSF1B ' ,5,2920
1037, ' GNF2_TTK ' ,5,2923
1038, ' GNF2_TTN ' ,5,2924
1039, ' GNF2_VAV1 ' ,5,2927
1040, ' GNF2_ZAP70 ' ,5,2928
1041, ' MODULE_14 ' ,5,2941
1042, ' MODULE_21 ' ,5,2948
1043, ' MODULE_35 ' ,5,2959
1044, ' MODULE_39 ' ,5,2963
1045, ' MODULE_50 ' ,5,2974
1046, ' MODULE_51 ' ,5,2975
1047, ' MODULE_56 ' ,5,2980
1048, ' MODULE_57 ' ,5,2981
1049, ' MODULE_65 ' ,5,2989
1050, ' MODULE_68 ' ,5,2992
1051, ' MODULE_80 ' ,5,3003
1052, ' MODULE_85 ' ,5,3008
1053, ' MODULE_89 ' ,5,3012
1054, ' MODULE_90 ' ,5,3013
1055, ' MODULE_91 ' ,5,3014
1056, ' MODULE_101 ' ,5,3024
1057, ' MODULE_102 ' ,5,3025
1058, ' MODULE_103 ' ,5,3026
1059, ' MODULE_110 ' ,5,3033
1060, ' MODULE_116 ' ,5,3039
1061, ' MODULE_125 ' ,5,3048
1062, ' MODULE_127 ' ,5,3050
1063, ' MODULE_132 ' ,5,3055
1064, ' MODULE_133 ' ,5,3056
1065, ' MODULE_141 ' ,5,3063
1066, ' MODULE_143 ' ,5,3064
1067, ' MODULE_148 ' ,5,3068
1068, ' MODULE_150 ' ,5,3070
1069, ' MODULE_153 ' ,5,3073
1070, ' MODULE_155 ' ,5,3075
1071, ' MODULE_156 ' ,5,3076
1072, ' MODULE_158 ' ,5,3078
1073, ' MODULE_160 ' ,5,3080
1074, ' MODULE_162 ' ,5,3081
1075, ' MODULE_168 ' ,5,3086
1076, ' MODULE_173 ' ,5,3091
1077, ' MODULE_178 ' ,5,3096
1078, ' MODULE_184 ' ,5,3102
1079, ' MODULE_186 ' ,5,3103
1080, ' MODULE_189 ' ,5,3105
1081, ' MODULE_190 ' ,5,3106
1082, ' MODULE_194 ' ,5,3109
1083, ' MODULE_199 ' ,5,3114
1084, ' MODULE_200 ' ,5,3115
1085, ' MODULE_203 ' ,5,3118
1086, ' MODULE_210 ' ,5,3125
1087, ' MODULE_211 ' ,5,3126
1088, ' MODULE_214 ' ,5,3129
1089, ' MODULE_215 ' ,5,3130
1090, ' MODULE_218 ' ,5,3131
1091, ' MODULE_219 ' ,5,3132
1092, ' MODULE_222 ' ,5,3135
1093, ' MODULE_226 ' ,5,3137
1094, ' MODULE_227 ' ,5,3138
1095, ' MODULE_229 ' ,5,3139
1096, ' MODULE_236 ' ,5,3143
1097, ' MODULE_240 ' ,5,3147
1098, ' MODULE_245 ' ,5,3152
1099, ' MODULE_259 ' ,5,3162
1100, ' MODULE_264 ' ,5,3166
1101, ' MODULE_267 ' ,5,3168
1102, ' MODULE_272 ' ,5,3169
1103, ' MODULE_275 ' ,5,3172
1104, ' MODULE_280 ' ,5,3176
1105, ' MODULE_281 ' ,5,3177
1106, ' MODULE_293 ' ,5,3186
1107, ' MODULE_294 ' ,5,3187
1108, ' MODULE_298 ' ,5,3190
1109, ' MODULE_299 ' ,5,3191
1110, ' MODULE_303 ' ,5,3194
1111, ' MODULE_306 ' ,5,3196
1112, ' MODULE_307 ' ,5,3197
1113, ' MODULE_311 ' ,5,3200
1114, ' MODULE_312 ' ,5,3201
1115, ' MODULE_313 ' ,5,3202
1116, ' MODULE_315 ' ,5,3203
1117, ' MODULE_318 ' ,5,3206
1118, ' MODULE_320 ' ,5,3207
1119, ' MODULE_326 ' ,5,3213
1120, ' MODULE_327 ' ,5,3214
1121, ' MODULE_328 ' ,5,3215
1122, ' MODULE_335 ' ,5,3222
1123, ' MODULE_346 ' ,5,3229
1124, ' MODULE_349 ' ,5,3230
1125, ' MODULE_352 ' ,5,3232
1126, ' MODULE_354 ' ,5,3233
1127, ' MODULE_355 ' ,5,3234
1128, ' MODULE_360 ' ,5,3238
1129, ' MODULE_368 ' ,5,3244
1130, ' MODULE_371 ' ,5,3245
1131, ' MODULE_373 ' ,5,3247
1132, ' MODULE_377 ' ,5,3249
1133, ' MODULE_381 ' ,5,3252
1134, ' MODULE_392 ' ,5,3258
1135, ' MODULE_395 ' ,5,3259
1136, ' MODULE_396 ' ,5,3260
1137, ' MODULE_401 ' ,5,3264
1138, ' MODULE_402 ' ,5,3265
1139, ' MODULE_403 ' ,5,3266
1140, ' MODULE_407 ' ,5,3268
1141, ' MODULE_408 ' ,5,3269
1142, ' MODULE_412 ' ,5,3272
1143, ' MODULE_414 ' ,5,3273
1144, ' MODULE_415 ' ,5,3274
1145, ' MODULE_417 ' ,5,3276
1146, ' MODULE_421 ' ,5,3279
1147, ' MODULE_424 ' ,5,3280
1148, ' MODULE_429 ' ,5,3283
1149, ' MODULE_431 ' ,5,3285
1150, ' MODULE_432 ' ,5,3286
1151, ' MODULE_439 ' ,5,3290
1152, ' MODULE_444 ' ,5,3292
1153, ' MODULE_445 ' ,5,3293
1154, ' MODULE_451 ' ,5,3296
1155, ' MODULE_454 ' ,5,3298
1156, ' MODULE_457 ' ,5,3301
1157, ' MODULE_462 ' ,5,3304
1158, ' MODULE_464 ' ,5,3305
1159, ' MODULE_465 ' ,5,3306
1160, ' MODULE_470 ' ,5,3307
1161, ' MODULE_471 ' ,5,3308
1162, ' MODULE_474 ' ,5,3309
1163, ' MODULE_478 ' ,5,3310
1164, ' MODULE_488 ' ,5,3316
1165, ' MODULE_489 ' ,5,3317
1166, ' MODULE_492 ' ,5,3319
1167, ' MODULE_495 ' ,5,3321
1168, ' MODULE_501 ' ,5,3324
1169, ' MODULE_505 ' ,5,3326
1170, ' MODULE_509 ' ,5,3327
1171, ' MODULE_514 ' ,5,3330
1172, ' MODULE_516 ' ,5,3331
1173, ' MODULE_519 ' ,5,3332
1174, ' MODULE_528 ' ,5,3337
1175, ' MODULE_530 ' ,5,3338
1176, ' MODULE_534 ' ,5,3341
1177, ' MODULE_537 ' ,5,3342
1178, ' MODULE_540 ' ,5,3344
1179, ' MODULE_543 ' ,5,3345
1180, ' MODULE_547 ' ,5,3348
1181, ' MODULE_552 ' ,5,3349
1182, ' MODULE_557 ' ,5,3350
1183, ' MODULE_560 ' ,5,3351
1184, ' MODULE_562 ' ,5,3352
1185, ' MODULE_563 ' ,5,3353
1186, ' MODULE_575 ' ,5,3358
1187, ' HINATA_NFKB_IMMU_INF ' ,6,3374
1188, ' HINATA_NFKB_MATRIX ' ,6,3375
1189, ' LN229-central ' ,9,4297
1190, ' SF767-central ' ,9,4369
1191, ' U251MG-central ' ,9,4404
1192, ' LN229-central ' ,10,4513
1193, ' LN340-central ' ,10,4516
1194, ' Nasopharyngeal ' ,11,4628
1195, ' Glioma ' ,11,4629
1196, ' Carotid ' ,11,4630
1197, ' Gout ' ,11,4634
1198, ' F8 ' ,11,4635
1199, ' Hypothyroidism ' ,11,4636
1200, ' Ovarian ' ,11,4637
1201, ' 1-Alkyl-2-acetylglycerophosphocholine ' ,11,4638
1202, ' Warfarin ' ,11,4640
1203, ' Carcinoma ' ,11,4641
1204, ' Vitamin ' ,11,4642
1205, ' Glucose ' ,11,4644
1206, ' Glucose ' ,11,4645
1207, ' Amyloid ' ,11,4656
1208, ' Vitamin ' ,11,4662
1209, ' Abdominal ' ,11,4663
1210, ' Subcutaneous ' ,11,4664
1211, ' Cleft ' ,11,4669
1212, ' Follicle ' ,11,4671
1213, ' Intra-Abdominal ' ,11,4672
1214, ' Atrial ' ,11,4673
1215, ' Blood ' ,11,4675
1216, ' Frontal ' ,11,4679
1217, ' Memory ' ,11,4681
1218, ' Multiple ' ,11,4711
1219, ' Parietal ' ,11,4712
1220, ' Survival ' ,11,4725
1221, ' Precursor ' ,11,4731
1222, ' Gallbladder ' ,11,4734
1223, ' Carotid ' ,11,4745
1224, ' Restless ' ,11,4747
1225, ' Vitamin ' ,11,4748
1226, ' Blood ' ,11,4753
1227, ' Neurotic ' ,11,4754
1228, ' Mental ' ,11,4757
1229, ' Varicose ' ,11,4759
1230, ' Angiography ' ,11,4761
1231, ' Temporal ' ,11,4762
1232, ' Blood ' ,11,4763
1233, ' Glomerulonephritis ' ,11,4765
1234, ' von ' ,11,4768
1235, ' tau ' ,11,4769
1236, ' Heart ' ,11,4776
1237, ' Antipsychotic ' ,11,4778
1238, ' Apolipoproteins ' ,11,4787
1239, ' Central ' ,11,4792
1240, ' Cystatins ' ,11,4794
1241, ' Leukemia ' ,11,4795
1242, ' Insulin-Like ' ,11,4805
1243, ' Apolipoproteins ' ,11,4809
1244, ' Calcium-Binding ' ,11,4811
1245, ' Peroxidase ' ,11,4812
1246, ' Antidepressive ' ,11,4814
1247, ' Atrial ' ,11,4816
1248, ' Phosphatidylcholines ' ,11,4820
1249, ' Conduct ' ,11,4822
1250, ' Diabetic ' ,11,4823
1251, ' Migraine ' ,11,4825
1252, ' Neoplasms ' ,11,4826
1253, ' Dengue ' ,11,4828
1254, ' Stomach ' ,11,4829
1255, ' Pulmonary ' ,11,4830
1256, ' Esophageal ' ,11,4831
1257, ' Head ' ,11,4833
1258, ' Ferritins ' ,11,4835
1259, ' Iron-Regulatory ' ,11,4837
1260, ' Transferrin ' ,11,4838
1261, ' Anorexia ' ,11,4842
1262, ' Walking ' ,11,4843
1263, ' Audiometry ' ,11,4844
1264, ' Cardiomegaly ' ,11,4845
1265, ' Autistic ' ,11,4850
1266, ' Urinalysis ' ,11,4851
1267, ' Eye ' ,11,4853
1268, ' Occipital ' ,11,4854
1269, ' gamma-Glutamylcyclotransferase ' ,11,4856
1270, ' Heart ' ,11,4858
1271, ' Luteinizing ' ,11,4859
1272, ' Apolipoproteins ' ,11,4863
1273, ' Resistin ' ,11,4865
1274, ' Anticonvulsants ' ,11,4867
1275, ' Gallbladder ' ,11,4869
1276, ' Cleft ' ,11,4870
1277, ' Polycystic ' ,11,4871
1278, ' Hair ' ,11,4872
1279, ' Panic ' ,11,4874
1280, ' Respiration ' ,11,4875
1281, ' Personality ' ,11,4876
1282, ' P-Selectin ' ,11,4877
1283, ' Telomere ' ,11,4878
1284, ' Anemia ' ,11,4881
1285, ' DNA ' ,11,4882
1286, ' Urinary ' ,11,4885
1287, ' Prion ' ,11,4894
1288, ' Vitamin ' ,11,4895
1289, ' Alanine ' ,11,4896
1290, ' Aspartate ' ,11,4897
1291, ' Mortality ' ,11,4898
1292, ' fibrin ' ,11,4902
1293, ' Graves ' ,11,4903
1294, ' Intercellular ' ,11,4904
1295, ' Tumor ' ,11,4905
1296, ' Protein ' ,11,4909
1297, ' Blood ' ,11,4910
1298, ' Caffeine ' ,11,4912
1299, ' Acquired ' ,11,4913
1300, ' Scleroderma ' ,11,4914
1301, ' Hepatitis ' ,11,4917
1302, ' Hepatitis ' ,11,4918
1303, ' Vitiligo ' ,11,4925
1304, ' Autoimmune ' ,11,4930
1305, ' Celiac ' ,11,4931
1306, ' Cystatin ' ,11,4932
1307, ' Colorectal ' ,11,4933
1308, ' Esophagitis ' ,11,4938
1309, ' Immunoglobulin ' ,11,4940
1310, ' Leukemia ' ,11,4942
1311, ' Spondylitis ' ,11,4945
1312, ' Hodgkin ' ,11,4946
1313, ' Chemokine ' ,11,4950
1314, ' Immunoglobulin ' ,11,4951
1315, ' Monocyte ' ,11,4952
1316, ' Lung ' ,11,4953
1317, ' Testicular ' ,11,4957
1318, ' Hepatitis ' ,11,4958
1319, ' Eye ' ,11,4959
1320, ' Suntan ' ,11,4960
1321, ' Hair ' ,11,4961
1322, ' Melanosis ' ,11,4962
1323, ' Supranuclear ' ,11,4963
1324, ' Melanoma ' ,11,4964
1325, ' Astigmatism ' ,11,4968
