libtype,libtype2,libtype3
367,5,5,1722
368,5,5,1723
369,5,5,1730
370,5,5,1731
371,5,5,1732
372,5,5,1733
373,5,5,1734
374,5,5,1738
375,5,5,1739
376,5,5,1742
377,5,5,1743
378,5,5,1744
379,5,5,1745
380,5,5,1748
381,5,5,1749
382,5,5,1750
383,5,5,1751
384,5,5,1752
385,5,5,1753
386,5,5,1754
387,5,5,1757
388,5,5,1759
389,5,5,1760
390,5,5,1762
391,5,5,1763
392,5,5,1766
393,5,5,1767
394,5,5,1768
395,5,5,1770
396,5,5,1771
397,5,5,1772
398,5,5,1773
399,5,5,1775
400,5,5,1777
401,5,5,1778
402,5,5,1779
403,5,5,1780
404,5,5,1781
405,5,5,1785
406,5,5,1786
407,5,5,1788
408,5,5,1789
409,5,5,1792
410,5,5,1794
411,5,5,1800
412,5,5,1801
413,5,5,1802
414,5,5,1803
415,5,5,1805
416,5,5,1806
417,5,5,1807
418,5,5,1808
419,5,5,1810
420,5,5,1811
421,5,5,1812
422,5,5,1813
423,5,5,1814
424,5,5,1816
425,5,5,1818
426,5,5,1819
427,5,5,1820
428,5,5,1821
429,5,5,1823
430,5,5,1824
431,5,5,1825
432,5,5,1826
433,5,5,1827
434,5,5,1828
435,5,5,1830
436,5,5,1832
437,5,5,1833
438,5,5,1838
439,5,5,1839
440,5,5,1840
441,5,5,1842
442,5,5,1843
443,5,5,1844
444,5,5,1845
445,5,5,1846
446,5,5,1847
447,5,5,1848
448,5,5,1851
449,5,5,1852
450,5,5,1853
451,5,5,1857
452,5,5,1858
453,5,5,1859
454,5,5,1861
455,5,5,1862
456,5,5,1864
457,5,5,1865
458,5,5,1866
459,5,5,1867
460,5,5,1869
461,5,5,1870
462,5,5,1871
463,5,5,1872
464,5,5,1873
465,5,5,1874
466,5,5,1875
467,5,5,1876
468,5,5,1878
469,5,5,1879
470,5,5,1880
471,5,5,1881
472,5,5,1882
473,5,5,1883
474,5,5,1884
475,5,5,1885
476,5,5,1887
477,5,5,1888
478,5,5,1889
479,5,5,1890
480,5,5,1891
481,5,5,1892
482,5,5,1893
483,5,5,1894
484,5,5,1898
485,5,5,1899
486,5,5,1900
487,5,5,1901
488,5,5,1902
489,5,5,1903
490,5,5,1905
491,5,5,1906
492,5,5,1907
493,6,6,1910
494,6,6,1914
495,6,6,1915
496,6,6,1917
497,6,6,1919
498,6,6,1923
499,6,6,1925
500,6,6,1933
501,6,6,1936
502,6,6,1945
503,6,6,1946
504,6,6,1947
505,6,6,1949
506,6,6,1950
507,6,6,1952
508,6,6,1953
509,6,6,1958
510,6,6,1961
511,6,6,1962
512,6,6,1963
513,6,6,1964
514,6,6,1967
515,6,6,1977
516,6,6,1978
517,6,6,1993
518,6,6,1996
519,6,6,1999
520,6,6,2003
521,6,6,2004
522,6,6,2006
523,6,6,2007
524,6,6,2008
525,6,6,2010
526,6,6,2011
527,6,6,2014
528,6,6,2017
529,6,6,2020
530,6,6,2021
531,6,6,2022
532,6,6,2024
533,6,6,2026
534,6,6,2027
535,6,6,2031
536,6,6,2033
537,6,6,2034
538,6,6,2037
539,6,6,2038
540,6,6,2039
541,6,6,2040
542,6,6,2041
543,6,6,2043
544,6,6,2044
545,6,6,2046
546,6,6,2051
547,6,6,2052
548,6,6,2053
549,6,6,2060
550,6,6,2061
551,6,6,2064
552,6,6,2065
553,6,6,2067
554,6,6,2069
555,6,6,2073
556,6,6,2076
557,6,6,2077
558,6,6,2079
559,6,6,2080
560,6,6,2085
561,6,6,2088
562,6,6,2094
563,6,6,2096
564,6,6,2098
565,6,6,2099
566,6,6,2101
567,6,6,2102
568,6,6,2103
569,6,6,2104
570,6,6,2107
571,6,6,2108
572,6,6,2109
573,6,6,2110
574,6,6,2114
575,6,6,2118
576,6,6,2120
577,6,6,2122
578,6,6,2124
579,6,6,2126
580,6,6,2127
581,6,6,2129
582,6,6,2130
583,6,6,2131
584,6,6,2132
585,6,6,2134
586,6,6,2139
587,6,6,2142
588,6,6,2143
589,6,6,2144
590,6,6,2145
591,6,6,2147
592,6,6,2149
593,6,6,2152
594,6,6,2153
595,6,6,2155
596,6,6,2156
597,6,6,2157
598,6,6,2158
599,6,6,2166
600,6,6,2172
601,6,6,2173
602,6,6,2174
603,6,6,2175
604,6,6,2178
605,6,6,2180
606,6,6,2186
607,6,6,2189
608,6,6,2192
609,6,6,2193
610,6,6,2194
611,6,6,2196
612,6,6,2197
613,6,6,2201
614,6,6,2202
615,6,6,2203
616,6,6,2205
617,6,6,2208
618,6,6,2209
619,6,6,2210
620,6,6,2215
621,6,6,2216
622,6,6,2218
623,6,6,2222
